model,rmse_mean,rmse_std,mae_mean,mae_std
Dummy_mean,77160.10845671482,3673.252797736224,56318.232277232826,2612.1484999703557
Linear_Regression,36397.27371311352,7544.717945983772,19621.981804691368,806.1219006671134
Ridge_alpha_1.0,32814.49763057922,7332.537866363063,18676.071377803135,1116.8101591064387
Lasso_alpha_0.1,36039.211359976995,7401.016075275779,19444.763807396455,899.4189950453912
RandomForestRegressor,30187.81105868889,4925.198978324366,18172.212787205168,1123.6883459985922
Lasso_alpha_100.0,31597.03113665399,7633.433043122097,20612.67016036362,857.5741998467191
Ridge_alpha_10.0,31556.17453894091,7216.615112712603,18001.482651456176,581.3206021972842
HistGradientBoostingRegressor,28748.832333501043,4848.5142175737665,17057.678686866522,995.4246449972673
