alpha_value,rmse_mean,rmse_std,mae_mean,mae_std
100.0,31597.03113665399,7633.433043122097,20612.67016036362,857.5741998467191
1000.0,33640.00680088651,7324.297701482932,20612.67016036362,857.5741998467191
10.0,34611.564553922755,7531.897940555942,20612.67016036362,857.5741998467191
1.0,35851.98183534062,7413.105818495186,20612.67016036362,857.5741998467191
0.1,36038.837163150485,7400.957266584864,20612.67016036362,857.5741998467191
0.001,36087.24256266425,7525.8667103084845,20612.67016036362,857.5741998467191
0.01,36092.45947090654,7387.505328895076,20612.67016036362,857.5741998467191
