mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__regressor__learning_rate,param_regressor__regressor__max_iter,param_regressor__regressor__max_leaf_nodes,param_regressor__regressor__min_samples_leaf,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0.3056070327758789,0.10299305204196547,0.0162750244140625,0.009984180190796159,0.08116262258099886,448,29,15,"{'regressor__regressor__learning_rate': np.float64(0.08116262258099886), 'regressor__regressor__max_iter': 448, 'regressor__regressor__max_leaf_nodes': 29, 'regressor__regressor__min_samples_leaf': 15}",-27414.44862173116,-31495.588482489693,-35633.072264302034,-22832.394444192178,-22172.858272190253,27909.672416981066,-5127.274792376382,3,-17336.095521979474,-17898.694239003962,-18734.249441588072,-16066.25255607115,-14675.956292331428,16942.249610194813,-1427.2085038526359,7
0.1555607795715332,0.01534972943092115,0.010663461685180665,0.002589418250423611,0.15814129005182617,120,33,27,"{'regressor__regressor__learning_rate': np.float64(0.15814129005182617), 'regressor__regressor__max_iter': 120, 'regressor__regressor__max_leaf_nodes': 33, 'regressor__regressor__min_samples_leaf': 27}",-27299.910854234164,-32266.04703511821,-35592.79652632058,-24199.828846249693,-22952.27445433876,28462.171543252283,-4799.8471332558465,13,-17206.984193439705,-17938.7786174196,-19505.828718012046,-16417.54302557547,-15275.497530354636,17268.92641696029,-1425.1233714345767,23
0.7610702514648438,0.10255658646347776,0.01045985221862793,0.0011265104978738488,0.021035886311957897,187,38,7,"{'regressor__regressor__learning_rate': np.float64(0.021035886311957897), 'regressor__regressor__max_iter': 187, 'regressor__regressor__max_leaf_nodes': 38, 'regressor__regressor__min_samples_leaf': 7}",-29917.197685855135,-34103.20371884701,-36417.21682685902,-25124.782259759377,-26029.42500002383,30318.365098268878,-4405.683623473754,39,-18925.633354869635,-18471.186981362847,-19836.014802656035,-17245.369349681274,-16255.762781891752,18146.79345409231,-1261.2576212049494,37
1.2411760807037353,0.2324159186586333,0.01342473030090332,0.00042386726872310326,0.013911053916202464,357,38,16,"{'regressor__regressor__learning_rate': np.float64(0.013911053916202464), 'regressor__regressor__max_iter': 357, 'regressor__regressor__max_leaf_nodes': 38, 'regressor__regressor__min_samples_leaf': 16}",-28524.240775754948,-32528.624223639377,-37061.32238024387,-24030.940905032137,-23835.8701517169,29196.19968727745,-5076.017495283129,33,-17548.049149071492,-18114.22762994878,-19192.482667391665,-16161.754584406135,-15212.478431271686,17245.79849241795,-1410.2939813393875,19
0.20286226272583008,0.027356221810005125,0.007052803039550781,0.0004237570187196623,0.18832501471299254,485,35,5,"{'regressor__regressor__learning_rate': np.float64(0.18832501471299254), 'regressor__regressor__max_iter': 485, 'regressor__regressor__max_leaf_nodes': 35, 'regressor__regressor__min_samples_leaf': 5}",-28206.677685962528,-31713.18860334736,-33693.84489831455,-24244.34239972496,-25289.032336513486,28629.417184772574,-3625.5712575125094,16,-17991.611376138324,-18108.315286432986,-19922.06911776244,-17430.665639154606,-16369.012343827477,17964.334752663162,-1156.2053938145957,35
0.36426639556884766,0.08896786508913102,0.011224985122680664,0.003868154055401774,0.06780602616231217,121,39,21,"{'regressor__regressor__learning_rate': np.float64(0.06780602616231217), 'regressor__regressor__max_iter': 121, 'regressor__regressor__max_leaf_nodes': 39, 'regressor__regressor__min_samples_leaf': 21}",-27162.28853700249,-31551.495836297134,-36404.74627885138,-24668.49687420867,-22403.834624863954,28438.17243024473,-5008.206221238011,12,-17201.514103359725,-17551.29722183654,-19200.325267332137,-16189.379989870027,-15298.022239226464,17088.10776432498,-1319.1653460455127,13
0.1955040454864502,0.01718488585799787,0.008868980407714843,0.00242674209153663,0.10970718544909393,269,42,20,"{'regressor__regressor__learning_rate': np.float64(0.10970718544909393), 'regressor__regressor__max_iter': 269, 'regressor__regressor__max_leaf_nodes': 42, 'regressor__regressor__min_samples_leaf': 20}",-27905.720148080105,-31899.3813663902,-35904.50099377219,-24964.138390654687,-22597.39077578929,28654.226334937295,-4774.092193193815,17,-17413.682656975903,-17971.65546154219,-19051.86973080698,-16349.036868209972,-15363.94608309941,17230.03816012689,-1277.5957663683866,18
0.3071403980255127,0.057382954713956956,0.009063434600830079,0.0005604254644602854,0.054226554681757806,545,17,9,"{'regressor__regressor__learning_rate': np.float64(0.054226554681757806), 'regressor__regressor__max_iter': 545, 'regressor__regressor__max_leaf_nodes': 17, 'regressor__regressor__min_samples_leaf': 9}",-26551.422282815827,-31859.298057999724,-36942.347419263046,-22767.326665106495,-23575.691327116867,28339.217150460387,-5354.216513306602,11,-16650.50364935766,-17516.11849510952,-18983.828320235694,-15932.599583814961,-14952.716486238363,16807.153306951244,-1376.1442514045232,3
0.22269210815429688,0.06524660751142915,0.013557052612304688,0.008190215406330779,0.1254335218612733,120,23,11,"{'regressor__regressor__learning_rate': np.float64(0.1254335218612733), 'regressor__regressor__max_iter': 120, 'regressor__regressor__max_leaf_nodes': 23, 'regressor__regressor__min_samples_leaf': 11}",-26282.960692288285,-31813.75862602709,-34417.991177422824,-22780.33734508966,-23420.464080002093,27743.102384165988,-4616.722541886422,1,-16705.86574447328,-18506.47132482334,-18845.876445894457,-16163.97541106158,-15246.827739328734,17093.803333116277,-1377.8087986854657,14
0.5135487079620361,0.0816789324259275,0.01493067741394043,0.005203588788164049,0.01252034262037464,188,28,22,"{'regressor__regressor__learning_rate': np.float64(0.01252034262037464), 'regressor__regressor__max_iter': 188, 'regressor__regressor__max_leaf_nodes': 28, 'regressor__regressor__min_samples_leaf': 22}",-32621.11200487137,-34496.055561007306,-39492.00449752705,-29892.761016257882,-29022.61977865384,33104.910571663495,-3740.2491130242515,40,-19515.730773333762,-19851.99726567294,-20473.25508215422,-18775.66227515268,-17591.012486657357,19241.531576594192,-990.5800142800805,40
