alpha_value,rmse_mean,rmse_std,mae_mean,mae_std
10.0,31556.17453894091,7216.615112712603,18001.482651456176,581.3206021972842
100.0,32304.774753877682,7450.226999246071,18382.143448885043,550.4189378853508
1.0,32814.49763057922,7332.537866363063,18676.071377803135,1116.8101591064387
0.1,35227.91163211876,7378.296506857981,19229.454373778535,964.2362322293963
1000.0,35985.02379812848,5366.936468069914,20612.67016036362,857.5741998467191
0.01,36243.910934358064,7490.030808907823,19558.037883989975,805.6306001211091
0.001,36398.241914927625,7511.731519512405,19628.14286988182,785.9696133271085
