mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__regressor__learning_rate,param_regressor__regressor__max_iter,param_regressor__regressor__max_leaf_nodes,param_regressor__regressor__min_samples_leaf,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_rmse,mean_test_mae
0.24544949531555177,0.06346307756250949,0.010464334487915039,0.0034217221562638585,0.1254335218612733,120,23,11,"{'regressor__regressor__learning_rate': np.float64(0.1254335218612733), 'regressor__regressor__max_iter': 120, 'regressor__regressor__max_leaf_nodes': 23, 'regressor__regressor__min_samples_leaf': 11}",-26282.960692288285,-31813.75862602709,-34417.991177422824,-22780.33734508966,-23420.464080002093,27743.102384165988,4616.722541886422,1,-16705.86574447328,-18506.47132482334,-18845.876445894457,-16163.97541106158,-15246.827739328734,17093.803333116277,1377.8087986854657,14,27743.102384165988,17093.803333116277
0.5302958965301514,0.12225828470731204,0.010521316528320312,0.0023875411008041363,0.041400718421970475,444,21,13,"{'regressor__regressor__learning_rate': np.float64(0.041400718421970475), 'regressor__regressor__max_iter': 444, 'regressor__regressor__max_leaf_nodes': 21, 'regressor__regressor__min_samples_leaf': 13}",-27197.530598195033,-30350.919715326327,-35325.92858927023,-22638.07928263301,-23203.665938470498,27743.22482477902,4717.316124660267,2,-17188.40979995252,-17462.08508968976,-18658.559611187924,-15426.535041831434,-14917.078907404053,16730.533690013137,1374.8550947770027,1,27743.22482477902,16730.533690013137
0.48756723403930663,0.111502857401878,0.024100732803344727,0.006631193511020896,0.08116262258099886,448,29,15,"{'regressor__regressor__learning_rate': np.float64(0.08116262258099886), 'regressor__regressor__max_iter': 448, 'regressor__regressor__max_leaf_nodes': 29, 'regressor__regressor__min_samples_leaf': 15}",-27414.44862173116,-31495.588482489693,-35633.072264302034,-22832.394444192178,-22172.858272190253,27909.672416981066,5127.274792376382,3,-17336.095521979474,-17898.694239003962,-18734.249441588072,-16066.25255607115,-14675.956292331428,16942.249610194813,1427.2085038526359,7,27909.672416981066,16942.249610194813
0.4131289482116699,0.05960709748344866,0.010835599899291993,0.0011902421546581006,0.05579483854494223,543,21,16,"{'regressor__regressor__learning_rate': np.float64(0.05579483854494223), 'regressor__regressor__max_iter': 543, 'regressor__regressor__max_leaf_nodes': 21, 'regressor__regressor__min_samples_leaf': 16}",-26928.091335177924,-32114.202437742806,-35480.04587327793,-22238.829681174233,-22966.733170957832,27945.58049966615,5148.529637781334,4,-16957.803213737447,-18251.334251543398,-18793.531746900233,-15445.739214221212,-14692.022294561726,16828.086144192803,1573.473222836213,5,27945.58049966615,16828.086144192803
0.4686309814453125,0.08000858330005392,0.012186002731323243,0.002024306883774357,0.057365523538286244,336,29,15,"{'regressor__regressor__learning_rate': np.float64(0.057365523538286244), 'regressor__regressor__max_iter': 336, 'regressor__regressor__max_leaf_nodes': 29, 'regressor__regressor__min_samples_leaf': 15}",-27650.46602773055,-31677.894164277874,-35429.06620115848,-22742.206073961122,-22699.395128526663,28039.805519130936,4991.452507597498,5,-17282.49646936181,-18105.46249807361,-18739.493913832357,-15889.456340933077,-14810.061038631678,16965.394052166506,1438.8080261935079,8,28039.805519130936,16965.394052166506
0.22261157035827636,0.034268329932135175,0.012685012817382813,0.006429432469762966,0.12862726914542072,161,20,16,"{'regressor__regressor__learning_rate': np.float64(0.12862726914542072), 'regressor__regressor__max_iter': 161, 'regressor__regressor__max_leaf_nodes': 20, 'regressor__regressor__min_samples_leaf': 16}",-27081.41062909065,-31344.33709449825,-36564.45811360475,-22466.525134649994,-23242.228486965443,28139.791891761815,5263.769843075712,6,-17018.825052355343,-18105.009608799115,-19039.39282502953,-16074.233842174575,-15423.272896363373,17132.146844944386,1314.2542454251304,16,28139.791891761815,17132.146844944386
0.4437116146087646,0.09915838844143249,0.011490726470947265,0.003399100838624464,0.06337755684060234,479,43,19,"{'regressor__regressor__learning_rate': np.float64(0.06337755684060234), 'regressor__regressor__max_iter': 479, 'regressor__regressor__max_leaf_nodes': 43, 'regressor__regressor__min_samples_leaf': 19}",-27851.844415443175,-30360.41979805717,-35393.6735787657,-24307.939665635462,-23117.5370689506,28206.282905370423,4416.263834737521,7,-17469.246830893477,-17611.865943960234,-18768.51683486791,-16151.485203427428,-15198.875378368111,17039.998038303434,1239.2136510064538,11,28206.282905370423,17039.998038303434
0.26724700927734374,0.08493435629597264,0.014337110519409179,0.0032358770494195963,0.08430151543891574,149,18,6,"{'regressor__regressor__learning_rate': np.float64(0.08430151543891574), 'regressor__regressor__max_iter': 149, 'regressor__regressor__max_leaf_nodes': 18, 'regressor__regressor__min_samples_leaf': 6}",-26136.187778302206,-31630.67476491264,-36110.95192309847,-24465.91428894808,-22954.55465307887,28259.656681668053,4900.0471211059485,8,-16427.05802175479,-17893.540339127616,-18766.872444601333,-17093.329627604533,-14750.02100238109,16986.164287093874,1365.1867167484606,9,28259.656681668053,16986.164287093874
0.5341942310333252,0.1175790056807966,0.012935400009155273,0.0048583770465177745,0.04544831118834681,385,25,27,"{'regressor__regressor__learning_rate': np.float64(0.04544831118834681), 'regressor__regressor__max_iter': 385, 'regressor__regressor__max_leaf_nodes': 25, 'regressor__regressor__min_samples_leaf': 27}",-27725.37845458443,-31858.37523248076,-35314.47467819022,-23482.08486264343,-22970.486357861726,28270.159917152116,4770.883545138066,9,-16609.190483447393,-17570.36356878458,-18637.86010098493,-16013.112085821775,-15001.577293349297,16766.420706477595,1253.4334467389301,2,28270.159917152116,16766.420706477595
0.2398409366607666,0.048176393304957064,0.009574222564697265,0.0017873297791510575,0.08322913548258405,445,16,24,"{'regressor__regressor__learning_rate': np.float64(0.08322913548258405), 'regressor__regressor__max_iter': 445, 'regressor__regressor__max_leaf_nodes': 16, 'regressor__regressor__min_samples_leaf': 24}",-27654.532596832745,-31757.461154974673,-34755.29612867032,-23766.540231588915,-23726.767720448726,28332.119566503075,4370.4248429027175,10,-16953.467490982643,-17737.958621084596,-17746.030605017688,-16389.9243843955,-15286.005673565258,16822.67735500914,922.6117352521048,4,28332.119566503075,16822.67735500914
